LocalOferta;DescLocalOferta;HoraIniDisciplina;HoraFimDisciplina;DiaDisciplina;NomeDisciplina;TurmaDisciplina;TurnoDisciplina;VagasOfertadas;VagasOcupadas;SexoDisciplina;HorarioFixo;DisciplinaParaCalouro;DisciplinaExclusiva;VagasOfertadasCalouros;VagasOcupadaCalouros
NULL;NULL;08:00;09:50;Quinta;FISIOPATOLOGIA DA REPRODUCAO DA FEMEA                                 ;B ;Diurno;20;20;Ambos;0;0;0;0;0
NULL;NULL;10:00;11:50;Quinta;FISIOPATOLOGIA DA REPRODUCAO DA FEMEA                                 ;B ;Diurno;20;20;Ambos;0;0;0;0;0
NULL;NULL;14:00;15:50;Quinta;FISIOPATOLOGIA DA REPRODUCAO DA FEMEA                                 ;B ;Diurno;20;20;Ambos;0;0;0;0;0
NULL;NULL;08:00;09:50;Quarta;TECNICA CIRURGICA VETERINARIA                                         ;A ;Diurno;40;23;Ambos;0;0;0;0;0
NULL;NULL;10:00;11:50;Quarta;TECNICA CIRURGICA VETERINARIA                                         ;A ;Diurno;40;23;Ambos;0;0;0;0;0
ICC AT 127/7   ;SALA AT 127/7                                     ;14:00;15:50;Quarta;TECNICA CIRURGICA VETERINARIA                                         ;A ;Diurno;40;23;Ambos;0;0;0;0;0
ICC AT 127/7   ;SALA AT 127/7                                     ;16:00;17:50;Quarta;TECNICA CIRURGICA VETERINARIA                                         ;A ;Diurno;40;23;Ambos;0;0;0;0;0
HVET           ;HOSPITAL VETERINÁRIO                              ;16:00;17:50;Quinta;Patologia Clínica Veterinária                                         ;A ;Diurno;21;21;Ambos;0;0;0;0;0
HVET           ;HOSPITAL VETERINÁRIO                              ;14:00;15:50;Sexta;Patologia Clínica Veterinária                                         ;A ;Diurno;21;21;Ambos;0;0;0;0;0
HVET           ;HOSPITAL VETERINÁRIO                              ;16:00;17:50;Quinta;Patologia Clínica Veterinária                                         ;B ;Diurno;26;12;Ambos;0;0;0;0;0
HVET           ;HOSPITAL VETERINÁRIO                              ;16:00;17:50;Sexta;Patologia Clínica Veterinária                                         ;B ;Diurno;26;12;Ambos;0;0;0;0;0
ICC AT-091/8   ;Sala de Aula ICC AT- 091/8                        ;14:00;15:50;Quarta;FISIOPATOLOGIA DA REPRODUCAO DO MACHO                                 ;A ;Diurno;20;20;Ambos;0;0;0;0;0
ICC AT-091/8   ;Sala de Aula ICC AT- 091/8                        ;16:00;17:50;Quarta;FISIOPATOLOGIA DA REPRODUCAO DO MACHO                                 ;A ;Diurno;20;20;Ambos;0;0;0;0;0
NULL;NULL;14:00;15:50;Quarta;FISIOPATOLOGIA DA REPRODUCAO DO MACHO                                 ;B ;Diurno;20;20;Ambos;0;0;0;0;0
NULL;NULL;16:00;17:50;Quarta;FISIOPATOLOGIA DA REPRODUCAO DO MACHO                                 ;B ;Diurno;20;20;Ambos;0;0;0;0;0
NULL;NULL;08:00;11:40;Segunda;TECNOLOGIA DE CARNES E DERIVADOS                                      ;A ;Diurno;40;28;Ambos;0;0;0;0;0
NULL;NULL;14:00;15:50;Quinta;TECNOLOGIA DE LEITE E DERIVADOS                                       ;A ;Diurno;45;21;Ambos;0;0;0;0;0
NULL;NULL;16:00;17:50;Quinta;TECNOLOGIA DE LEITE E DERIVADOS                                       ;A ;Diurno;45;21;Ambos;0;0;0;0;0
NULL;NULL;14:00;17:40;Quarta;ARMAZENAMENTO E PRE-PROCESSAMENTO DE PRODUTOS AGRICOLAS               ;A ;Diurno;40;17;Ambos;0;0;0;NULL;0
ICC AT 133/7   ;SALA ICC AT 133/7                                 ;08:00;11:40;Terça;ARMAZENAMENTO E PRE-PROCESSAMENTO DE PRODUTOS AGRICOLAS               ;B ;Diurno;40;1;Ambos;0;0;0;0;0
ICC AT 077/8   ;Sla de Aula ICC AT - 077/8                        ;16:00;17:50;Sexta;COOPERATIVISMO                                                        ;A ;Diurno;31;0;Ambos;0;0;0;0;0
BSA S BT 41/13 ;SALA BSA SUL BT 41/13                             ;20:50;22:30;Quarta;COOPERATIVISMO                                                        ;B ;Noturno;40;0;Ambos;0;0;0;0;0
NULL;NULL;10:00;11:50;Terça;MICROINFORMATICA APLICADA A AGRICULTURA                               ;A ;Diurno;10;0;Ambos;0;0;0;NULL;0
ICC AT 164     ;SALA ICC AT164                                    ;08:00;09:50;Terça;FISIOLOGIA VETERINARIA 2                                              ;A ;Diurno;42;42;Ambos;1;0;0;0;0
ICC AT 164     ;SALA ICC AT164                                    ;10:00;11:50;Terça;FISIOLOGIA VETERINARIA 2                                              ;A ;Diurno;42;42;Ambos;1;0;0;0;0
BSA S BT 34/13 ;SALA BSA SUL BT 34/13                             ;16:00;17:50;Quarta;FISIOLOGIA VETERINARIA 2                                              ;A ;Diurno;42;42;Ambos;1;0;0;0;0
BSA S B1 11/10 ;SALA BSA SUL B1 1/10                              ;14:00;15:50;Terça;FARMACOLOGIA VETERINARIA                                              ;A ;Diurno;44;35;Ambos;1;0;0;0;0
BSA S B1 11/10 ;SALA BSA SUL B1 1/10                              ;16:00;17:50;Terça;FARMACOLOGIA VETERINARIA                                              ;A ;Diurno;44;35;Ambos;1;0;0;0;0
BSA S B1 11/13 ;SALA BSA SUL B1 11/13                             ;14:00;15:50;Segunda;NUTRICAO ANIMAL                                                       ;A ;Diurno;40;37;Ambos;1;0;0;0;0
ICC AT 114/7   ;SALA DE AULA  ICC AT 114/7                        ;08:00;11:40;Quinta;NUTRICAO ANIMAL                                                       ;A ;Diurno;40;37;Ambos;1;0;0;0;0
ICC AT- 175/8  ;Sala ICC AT- 175/8                                ;08:00;09:50;Segunda;NUTRICAO ANIMAL                                                       ;B ;Diurno;30;1;Ambos;0;0;0;0;0
ICC AT 127/7   ;SALA AT 127/7                                     ;14:00;17:40;Quinta;NUTRICAO ANIMAL                                                       ;B ;Diurno;30;1;Ambos;0;0;0;0;0
ICC AT 114/18  ;SALA DE AULA ICC AT 114/18                        ;14:00;17:40;Segunda;Bovinocultura de Corte                                                ;A ;Diurno;40;38;Ambos;0;0;0;0;0
NULL;NULL;14:00;17:40;Terça;Bovinocultura de Corte                                                ;B ;Diurno;40;2;Ambos;0;0;0;NULL;0
